id,title,description,video_total
PL2O3HdJI4voGnb5Vw7qOAdd9pzllWjQh3,Deploy Amazon Lightsail Containers | Ngoding Bareng AWS,,4
PL2O3HdJI4voFWT9zTM2wUqHDLt2Ds_3bi,Podcast Blockchain,,4
PL2O3HdJI4voED2tsGDA2MRjKIhyjhHKNK,Podcast Data,,7
PL2O3HdJI4voHK5d2Vom-MKQ2IVcxcTLPQ,Belajar Container bersama AWS,,4
PL2O3HdJI4voEQS7Ka4RxHRAWJz_NIymkz,Belajar Container bersama AWS,,0
PL2O3HdJI4voFyH616uejhvYt5AQzZ2iTi,Belajar Time Series dengan Google Sheets,,8
PL2O3HdJI4voH_ZLHPU3Lr6oHLMwSYwJAE,Belajar Cloud Computing Dasar,,5
PL2O3HdJI4voGrjBRv41ONT-eU391zXJUb,Kustomisasi Desktop Environment,,4
PL2O3HdJI4voFv4rLFFDKPY23yWV4ZIzrv,Belajar Cloud Computing bersama AWS,,15
PL2O3HdJI4voGJg3hYGR5kfBxXv90DJ1lU,Master Class Belajar Python Data Science | Lengkap & Sistematis,"Berisi video pembelajaran yang berfokus pada pengembangan kompetensi di bidang data science dengan menggunakan bahasa pemrograman Python.

Materi yang disajikan telah dipersiapkan secara khusus sehingga ramah bagi pemula.

Topik bahasan:
- Python Pandas Data Frame
- Visualisasi data dengan Python Matplotlib
- Machine Learning dengan Python Scikit-Learn

keywords:
- Data Science Indonesia",97
PL2O3HdJI4voFl-qHG0XLSrPAS6JRmRIDp,Catatan Seorang Dosen,,18
PL2O3HdJI4voHNEv59SdXKRQVRZAFmwN9E,Tutorial Belajar Machine Learning Dasar | Python Scikit-Learn,"Materi dalam seri pembelajaran ini kami susun sedemikian rupa agar mudah diikuti, dan selalu kami awali dengan materi yang sifatnya mendasar terlebih dahulu. Kami berharap materi pembelajaran Machine Learning Dasar ini dapat bermanfaat dan membantu proses belajar kalian.

Scikit-Learn merupakan module dalam pemrograman Python yang memfasilitasi kita untuk mengerjakan berbagai machine learning project. Awalnya Scikit-Learn ini digarap sebagai bagian dari Google Summer of Code projec pada tahun 2007. Istilah Scikit sendiri merupakan kependekan dari SciPy Toolkits; karena memang project ini diperuntukkan sebagai extension untuk SciPy yang merupakan Scientific module dalam pemrograman python. Code base dari project ini lalu ditulis ulang dan mulai dibentuk tim khusus untuk mengembangkan project ini dengan lebih serius. Di awal tahun 2010, project Scikit-Learn ini dirilis ke publik dan berhasil menarik banyak contributor yang akhirnya menjadikan project ini terus berkembang sampai saat ini. Bahkan di tahun 2012, Scikit-Learn dikenal sebagai machine learning library yang paling populer dan well maintained.

Bilamana ada pertanyaan ataupun masukan terkait materi yang kami sampaikan, kalian dapat mengajukan pertanyaan dan masukan kalian, melalui kolom komentar video. Kami akan selalu berusaha untuk merespon setiap pertanyaan dan masukan yang kalian ajukan.

Bagi teman-teman yang ingin mentraktir kami, silakan untuk memanfaatkan link Saweria berikut ini: https://saweria.co/belajaridn​​

Bagi teman-teman yang tertarik, silakan untuk bergabung juga dengan Discord server Indonesia Belajar: https://discord.com/invite/ybWmMHCfrQ​

Links terkait:
- Scikit-Learn: https://scikit-learn.org/stable/index...​
- SciPy: https://www.scipy.org/​
- Matplotlib: https://matplotlib.org/​
- Pandas: https://pandas.pydata.org/​
- Anaconda: https://www.anaconda.com/​
- Machine Learning Yearning: https://www.deeplearning.ai/machine-l...​

Keywords:
- Belajar Machine Learning Dasar
- Belajar Machine Learning Pemula
- Tutorial Machine Learning Dasar
- Tutorial Machine Learning Pemula
- Belajar Machine Learning dengan Python
- Tutorial Machine Learning dengan Python
- Machine Learning Indonesia
- Machine Learning Bahasa Indonesia
- Belajar Scikit-Learn
- Belajar Data Science",17
PL2O3HdJI4voHAM5fkyNBH9IBrUXV1MU1Y,Linux Gaming,,8
PL2O3HdJI4voG0guZRmIT3OCzyQSmouW78,Tutorial openSUSE,,13
PL2O3HdJI4voGQ-TFLQtFCHvqmpCsJygGE,AWS DevAx Connect | Live Online Workshop,,2
PL2O3HdJI4voHDdTtwsGZ60uSPyYHB6KHb,Tutorial Belajar Probabilitas Dasar,,8
PL2O3HdJI4voHrfoMFvkDeblmjarDN8nC8,Tutorial Belajar Visualisasi Data Dasar | Python Matplotlib,,26
PL2O3HdJI4voGs6CiEUPXwt1fhLLqu30E_,Tutorial Belajar Database MySQL | MariaDB,,11
PL2O3HdJI4voFtnfZk60XK8ZvS5Elo16iw,FOSS | Free Open Source Software,,6
PL2O3HdJI4voFJT9r5fpzyZ14zqDrTjEb8,Q&A | Tanya Jawab | Indonesia Belajar,,7
